date,model,GraphicsFillPercentage,TopSheetFillPercentage,Columns,Rows,Sheets
2020-12-13,TLAL,87.72727272727273,8.863636363636363,5,8,11
2020-12-13,TLAL,82.27272727272727,8.409090909090908,5,8,11
2020-12-13,NPK,61.111111111111114,30.555555555555557,6,2,3
2020-12-13,TLAL,81.5909,8.181818181818182,5,8,11
2020-12-12,TLAS,80.404,8.080808080808081,5,9,11
2020-12-12,TLK,52.5,17.5,6,10,4
2020-12-12,TLAL,83.4091,8.409090909090908,5,8,11
2020-12-12,TLAL,83.86363636363636,8.409090909090908,5,8,11
2020-12-12,TLAS,81.41414141414141,8.282828282828282,5,9,11
2020-12-12,TLAL,85.83333333333333,6.166666666666667,5,8,15
2020-12-12,TLK,52.5,17.5,6,10,4
2020-12-12,TLAL,87.29166666666667,8.125,5,8,12
2020-12-12,TLAL,89.375,8.125,5,8,12
2020-12-11,TLAL,83.63636363636364,8.409090909090908,5,8,11
2020-12-11,TLAS,79.39393939393939,8.080808080808081,5,9,11
2020-12-11,NPAL,61.666666666666664,16.666666666666668,6,2,5
2020-12-11,TLAL,80.9091,8.181818181818182,5,8,11
2020-12-11,NPAL,83.33333333333333,10,6,2,10
2020-12-11,NPAL,73.33333333333333,18.333333333333332,6,2,5
2020-12-11,NPAS,75,15.277777777777779,6,2,6
2020-12-11,TLAL,90.96153846153847,7.6923076923076925,5,8,13
2020-12-11,TLAL,86.13636363636364,8.636363636363637,5,8,11
2020-12-11,NPAL,66.66666666666667,16.666666666666668,6,2,5
2020-12-11,TLAS,81.81818181818181,8.282828282828282,5,9,11
2020-12-11,TLAL,84.16666666666667,7.708333333333333,5,8,12
2020-12-11,NPAL,68.33333333333333,18.333333333333332,6,2,5
2020-12-11,TLAL,85,8.636363636363637,5,8,11
2020-12-11,NPAL,75,15.277777777777779,6,2,6
2020-12-11,NPAS,80.83333333333333,9.166666666666666,6,2,10
2020-12-11,NPAL,61.666666666666664,16.666666666666668,6,2,5
2020-12-11,NPK,45.833333333333336,45.833333333333336,6,2,2
2020-12-11,NPAL,82.4074,11.11111111111111,6,2,9
2020-12-11,NPAS,82.14285714285714,14.285714285714286,6,2,7
2020-12-11,NPK,79.16666666666667,16.666666666666668,6,2,6
2020-12-11,NPAL,83.33333333333333,14.285714285714286,6,2,7
2020-12-11,TLAL,84.16666666666667,7.708333333333333,5,8,12
2020-12-11,NPAL,85.25641025641026,7.6923076923076925,6,2,13
2020-12-10,TLAS,82.22222222222223,8.282828282828282,5,9,11
2020-12-10,TLK,52.916666666666664,17.916666666666668,6,10,4
2020-12-10,TLAL,82.72727272727273,8.409090909090908,5,8,11
2020-12-10,TLAL,82.5,7.5,5,8,12
2020-12-10,NPAS,89.91228070175438,5.2631578947368425,6,2,19
2020-12-10,NPAL,65,16.666666666666668,6,2,5
2020-12-10,TLAL,84.16666666666667,7.708333333333333,5,8,12
